size,heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
1024,200m,1000,UseSerialGC,46.30961184863812,0,3354,63.0,78.0,432.9600000000064,19780.34470113678,2.0760056020803876,193.375,31.162,62.202,100.731,53.267,0.0067,0.00303,0.1058,0.00661,0.06137,12.47,0.18,12.29,90.44,3,1858,45611.868,8055.039,1013.608,11.92,5.31,3.00
1024,200m,1000,UseParallelGC,46.16692194180245,0,3550,72.0,112.0,355.0,20248.711920364167,2.1300651528027563,199,50.229,62.307,95.952,62.006,0.00317,0.00183,0.12554,0.00291,0.06024,5.63,0.48,5.14,95.32,8,1765,54867.98,21274.632,1034.233,12.48,7.87,4.25
1024,200m,1,UseSerialGC,0.9102204602591419,0,8,1.0,1.0,1.0,1034.9934950128431,0.0,193.375,14.073,35.466,26.656,53.163,0.00606,0.0034,0.05709,0.00554,0.04058,0.82,0.08,0.74,99.32,2,133,3580.777,9589.689,874.01,2.15,5.46,3.80
1024,200m,1,UseParallelGC,0.8947199537935782,0,9,1.0,1.0,1.0,1039.5963639396214,0.0,199,12.818,1689,24.971,58.081,0.00372,0.00176,0.08852,0.00287,0.056,0.47,0.11,0.36,99.61,2,124,3621.201,20224.89,29.455,0.73,3.87,3.42
1024,4g,1000,UseSerialGC,39.70607534164646,0,3111,66.0,83.0,98.0,22971.085824879872,0.7569028068811987,3959.5,24.844,416.439,89.201,1091.73,0.01451,0.00632,0.12129,0.0131,0.0884,1.55,0.18,1.38,98.7,2,105,57943.899,83336.063,4710.742,22.13,12.02,6.53
1024,4g,1000,UseParallelGC,39.68839688721512,0,4158,77.0,121.0,186.9900000000016,23169.210241014094,1.2420182706913059,4086.5,20.442,5346.5,76.896,1256.393,0.00675,0.00281,0.04956,0.00611,0.03642,0.64,0.07,0.57,99.46,2,93,58860.452,205550.888,143.348,27.82,18.68,9.75
1024,4g,1,UseSerialGC,0.9056700947966486,0,20,1.0,1.0,1.0,1036.2926764180997,0.0,3959.5,24.67,397.403,41.357,1091.366,0.0383,0.0175,0.11788,0.02209,0.08693,0.31,0.17,0.13,99.73,2,6,3856.769,49411.392,4571.338,4.34,12.72,8.65
1024,4g,1,UseParallelGC,0.9041667332619387,0,9,1.0,1.0,1.0,1043.6008206428369,0.0,4073,20.426,5346.5,30.865,937.814,0.01523,0.00663,0.05192,0.00946,0.03834,0.15,0.08,0.08,99.87,2,8,3822.406,99181.887,136.178,1.08,8.73,7.68
10240,200m,1000,UseSerialGC,67.42368942208786,0,3212,93.0,121.0,189.9900000000016,9173.870973123572,1.4053694277593196,193.375,67.89,106.312,105.619,52.955,0.00543,0.00316,0.10165,0.00488,0.0856,15.09,1.63,13.46,87.46,19,2758,73859.763,10849.023,1242.003,6.23,8.57,7.78
10240,200m,1000,UseParallelGC,66.2738341763264,0,2215,170.0,364.0,461.9900000000016,9245.851331743359,1.2747757823266688,196,62.62,69.038,104.069,55.213,0.00316,0.0021,0.1248,0.00287,0.05354,8.6,0.86,7.74,92.85,16,2701,74962.726,19262.892,1289.571,7.69,8.43,7.83
10240,200m,1,UseSerialGC,1.375500024692574,1,7,2.0,2.0,2.0,675.4620054706785,0.0,193.375,14.742,34.872,30.981,53.239,0.0049,0.00302,0.05503,0.00461,0.03904,1.16,0.08,1.08,99.03,2,235,6285.234,11539.944,893.217,1.56,5.87,6.97
10240,200m,1,UseParallelGC,1.390492275594852,1,5,2.0,2.0,2.0,671.536986072888,0.0,196,11.84,719.5,27.85,54.877,0.00333,0.00181,0.09388,0.00285,0.05806,0.77,0.12,0.65,99.36,2,228,6256.515,19235.961,12.102,0.72,4.12,6.19
10240,4g,1000,UseSerialGC,48.554727376787106,0,1602,74.0,104.0,179.0,10003.455182774162,1.468863203666902,3959.5,24.898,397.313,91.726,1091.843,0.0134,0.00562,0.12121,0.01214,0.09278,1.72,0.19,1.53,98.56,2,126,69755.933,89929.072,4282.444,21.88,14.07,9.79
10240,4g,1000,UseParallelGC,63.3973344410486,0,3264,40.0,48.0,68.0,9476.198418787737,2.183808102285368,4089,20.531,5326,80.461,1248.068,0.00738,0.00299,0.0484,0.00678,0.0364,0.73,0.07,0.66,99.39,2,97,60958.659,184113.249,142.907,22.57,20.06,12.73
10240,4g,1,UseSerialGC,1.3912285507932156,1,22,2.0,2.0,2.0,669.7748123436197,0.0,3959.5,24.813,408.264,43.936,1091.565,0.0308,0.01808,0.11859,0.02064,0.08668,0.4,0.17,0.23,99.66,2,11,6549.621,52881.966,4710.059,3.49,13.64,11.27
10240,4g,1,UseParallelGC,1.4017111122229369,1,11,2.0,2.0,2.0,666.7778685926841,0.0,4076,20.379,5293,33.726,1065.558,0.01398,0.0068,0.05014,0.01005,0.03754,0.2,0.08,0.12,99.84,2,12,6448.561,106049.904,137.692,0.83,9.30,9.96
